Ano,NomeUF,NomeMunicipio,Impostos,PIB,Populacao,PIBperCapita
2011,São Paulo,Mariápolis,485829,32361.792999999998,3921,8253.45
2011,São Paulo,Marília,575873181,5083996623,218229,23296.61
2011,São Paulo,Marinópolis,363.98400000000004,19854756,2107,9423.23
2011,São Paulo,Martinópolis,20297076,335058206,24363,13752.75
2011,São Paulo,Matão,318316657,2419710.0519999997,77173,31354.36
2011,São Paulo,Mauá,1660118.0690000001,9813108043,421184,23298.86
2011,São Paulo,Mendonça,13171.458999999999,143743865,4708,30531.83
2011,São Paulo,Meridiano,12510.84,123386.05900000001,3842,32115.06
2011,São Paulo,Mesópolis,559271,43366.695999999996,1883,23030.64
2011,São Paulo,Miguelópolis,7382255,541074879,20561,26315.59
2011,São Paulo,Mineiros do Tietê,6052.673000000001,120565.67300000001,12087,9974.82
2011,São Paulo,Miracatu,19981.79,350060.69899999996,20455,17113.7
2011,São Paulo,Mira Estrela,1072867,32483862,2838,11446.04
2011,São Paulo,Mirandópolis,34654974,412892.64700000006,27602,14958.79
2011,São Paulo,Mirante do Paranapanema,16753134,212695267,17124,12420.89
2011,São Paulo,Mirassol,138678.63,1098015.1090000002,54212,20254.1
2011,São Paulo,Mirassolândia,801829,50861973,4338,11724.75
2011,São Paulo,Mococa,115920965,1207460.7820000001,66345,18199.73
2011,São Paulo,Mogi das Cruzes,1484832717,10166359383,392196,
2011,São Paulo,Mogi Guaçu,543148976,4005207938,138245,28971.81
2011,São Paulo,Mogi Mirim,507250.73299999995,3058221535,86892,35195.66
2011,São Paulo,Mombuca,1902247,49186.672999999995,3279,15000.51
2011,São Paulo,Monções,4378.409000000001,50153.672999999995,2138,23458.22
2011,São Paulo,Mongaguá,29549.703999999998,496133527,47153,10521.78
2011,São Paulo,Monte Alegre do Sul,13331.491000000002,151123.63199999998,7216,20942.85
2011,São Paulo,Monte Alto,153582844,1114110.6709999999,46875,23767.69
2011,São Paulo,Monte Aprazível,37343106,453393.43299999996,22002,20606.92
2011,São Paulo,Monte Azul Paulista,18881213,277011.58,18884,14669.12
