Ano,NomeUF,NomeMunicipio,NomeMeso,Impostos,PIB,Populacao,PIBperCapita
2010,São Paulo,Lavrinhas,Vale do Paraíba Paulista,10187084,76796.32,6586,11660.54
2010,São Paulo,Leme,Piracicaba,200010.25100000002,1634523.2319999998,91804,17804.49
2010,São Paulo,Lençóis Paulista,Bauru,191793193,1573990436,61454,25612.5
2010,São Paulo,Limeira,Piracicaba,1137140355,7629913302,276010,27643.61
2010,São Paulo,Lindóia,Campinas,6015028,70100641,6708,10450.3
2010,São Paulo,Lins,Bauru,260349.64800000002,2325825192,71493,32532.21
2010,São Paulo,Lorena,Vale do Paraíba Paulista,161439.43300000002,1356605025,82553,16433.14
2010,São Paulo,Lourdes,Araçatuba,495.69800000000004,28407974,2123,13381.05
2010,São Paulo,Louveira,Macro Metropolitana Paulista,1193409585,6027355627,37153,162230.66
2010,São Paulo,Lucélia,Presidente Prudente,22014.34,267341047,19885,13444.36
2010,São Paulo,Lucianópolis,Bauru,594453,23514228,2255,10427.6
2010,São Paulo,Luís Antônio,Ribeirão Preto,107181398,775223.1,11286,68688.92
2010,São Paulo,Luiziânia,Araçatuba,1122816,39491852,5030,7851.26
2010,São Paulo,Lupércio,Marília,-360.33099999999996,37475.556000000004,4353,8609.13
2010,São Paulo,Lutécia,Assis,909189,44019.799000000006,2703,16285.53
2010,São Paulo,Macatuba,Bauru,18690247,255047.25,16246,15699.08
2010,São Paulo,Macaubal,São José do Rio Preto,4197522,99163.38900000001,7663,12940.54
2010,São Paulo,Macedônia,São José do Rio Preto,1720.0529999999999,53531185,3664,14610.04
2010,São Paulo,Magda,São José do Rio Preto,1206989,49120.884000000005,3200,15350.28
2010,São Paulo,Mairinque,Macro Metropolitana Paulista,230741388,1171996.2,43225,27113.85
2010,São Paulo,Mairiporã,Metropolitana de São Paulo,147946682,1116127.8059999999,80920,13792.98
