Ano,NomeUF,NomeMunicipio,NomeMeso,Impostos,PIB,Populacao
2012,São Paulo,Monte Aprazível,São José do Rio Preto,42854568,519521.85799999995,22250
2012,São Paulo,Monte Azul Paulista,Ribeirão Preto,21793.06,322911.44800000003,18838
2012,São Paulo,Monte Castelo,Presidente Prudente,2739321,68883594,4060
2012,São Paulo,Monteiro Lobato,Vale do Paraíba Paulista,2678.1059999999998,42623.09099999999,4197
2012,São Paulo,Monte Mor,Campinas,550398476,2622765.7569999998,50702
2012,São Paulo,Morro Agudo,Ribeirão Preto,59903.46599999999,916567052,29673
2012,São Paulo,Morungaba,Macro Metropolitana Paulista,58354732,374509905,12050
2012,São Paulo,Motuca,Araraquara,1959729,62921333,4354
2012,São Paulo,Murutinga do Sul,Araçatuba,1780.3,49271.049000000006,4219
2012,São Paulo,Nantes,Assis,279645,71109741,2774
2012,São Paulo,Narandiba,Presidente Prudente,6377.0740000000005,158578663,4371
2012,São Paulo,Natividade da Serra,Vale do Paraíba Paulista,2240.5370000000003,48498057,6637
2012,São Paulo,Nazaré Paulista,Macro Metropolitana Paulista,29272.137000000002,240960.14899999998,16717
